gene_name,gene_ensembl_ID,iso_ensembl_ID
Gdpgp1,ENSPEMG00000000001.1,ENSPEMT00000000007.1
ENSPEMG00000000002-a-1,ENSPEMG00000000002.1,ENSPEMT00000000001.1
Nrg4,ENSPEMG00000000003.1,ENSPEMT00000000008.1
Rcn2,ENSPEMG00000000004.1,ENSPEMT00000000002.1
ENSPEMG00000000005-a-1,ENSPEMG00000000005.1,ENSPEMT00000000009.1
Tgfbr1,ENSPEMG00000000006.1,ENSPEMT00000000003.1
Wipf2,ENSPEMG00000000007.1,ENSPEMT00000000004.1
ENSPEMG00000000008-a-1,ENSPEMG00000000008.1,ENSPEMT00000000006.1
Nectin1,ENSPEMG00000000009.1,ENSPEMT00000000005.1
ENSPEMG00000000010-a-1,ENSPEMG00000000010.1,ENSPEMT00000000011.1
Nr4a2,ENSPEMG00000000011.1,ENSPEMT00000000010.1
ENSPEMG00000000012-a-1,ENSPEMG00000000012.1,ENSPEMT00000000015.1
Tmbim6,ENSPEMG00000000013.1,ENSPEMT00000000013.1
Rbm15,ENSPEMG00000000014.1,ENSPEMT00000000012.1
Npl,ENSPEMG00000000015.1,ENSPEMT00000000021.1
Plod3,ENSPEMG00000000016.1,ENSPEMT00000000014.1
Epb41l4a,ENSPEMG00000000017.1,ENSPEMT00000000017.1
Klhdc2,ENSPEMG00000000018.1,ENSPEMT00000000016.1
ENSPEMG00000000019-a-1,ENSPEMG00000000019.1,ENSPEMT00000000019.1
Golph3,ENSPEMG00000000020.1,ENSPEMT00000000018.1
1700080E11Rik,ENSPEMG00000000021.1,ENSPEMT00000000022.1
Wfdc6b,ENSPEMG00000000022.1,ENSPEMT00000000024.1
Ampd2,ENSPEMG00000000023.1,ENSPEMT00000000027.1
ENSPEMG00000000024-a-1,ENSPEMG00000000024.1,ENSPEMT00000000028.1
Cgrrf1,ENSPEMG00000000025.1,ENSPEMT00000000023.1
Cwc25,ENSPEMG00000000026.1,ENSPEMT00000000025.1
Dnajb14,ENSPEMG00000000027.1,ENSPEMT00000000029.1
Dlg5,ENSPEMG00000000028.1,ENSPEMT00000000046.1
Aig1,ENSPEMG00000000029.1,ENSPEMT00000000036.1
ENSPEMG00000000030-a-1,ENSPEMG00000000030.1,ENSPEMT00000000034.1
Trmt1l,ENSPEMG00000000031.1,ENSPEMT00000000030.1
Cnn3,ENSPEMG00000000032.1,ENSPEMT00000000041.1
Rbbp5,ENSPEMG00000000033.1,ENSPEMT00000000043.1
ENSPEMG00000000034-a-1,ENSPEMG00000000034.1,ENSPEMT00000000032.1
ENSPEMG00000000035-a-1,ENSPEMG00000000035.1,ENSPEMT00000000035.1
ENSPEMG00000000036-a-1,ENSPEMG00000000036.1,ENSPEMT00000000042.1
Arl10,ENSPEMG00000000038.1,ENSPEMT00000000039.1
Endou,ENSPEMG00000000039.1,ENSPEMT00000000049.1
Saxo1,ENSPEMG00000000040.1,ENSPEMT00000000045.1
Pifo,ENSPEMG00000000041.1,ENSPEMT00000000047.1
Vsig1,ENSPEMG00000000042.1,ENSPEMT00000000048.1
Papola,ENSPEMG00000000043.1,ENSPEMT00000000054.1
Cacnb4,ENSPEMG00000000044.1,ENSPEMT00000000056.1
Prom2,ENSPEMG00000000045.1,ENSPEMT00000000065.1
Mars,ENSPEMG00000000046.1,ENSPEMT00000000062.1
Gm3045,ENSPEMG00000000047.1,ENSPEMT00000000050.1
